validation_strategy,train_region,test_region,model,n_train,n_test,MAE,RMSE,R2
random_split,mixed,mixed,linear_regression,6336,1584,1.0813872839479837,1.36896443045841,-0.0001984580414109427
random_split,mixed,mixed,random_forest,6336,1584,0.9754676476436627,1.2267928886507542,0.19676180381712072
random_split,mixed,mixed,xgboost,6336,1584,0.971119092287995,1.2271341902900554,0.19631480962551573
spatial_holdout,mixed,mixed,linear_regression,6336,1584,1.0508557536532825,1.3132251239028885,-0.0004950338440685709
spatial_holdout,mixed,mixed,random_forest,6336,1584,0.9665523100185752,1.2117993551532888,0.14808158555066342
spatial_holdout,mixed,mixed,xgboost,6336,1584,0.9605410461901618,1.203851745390008,0.15921958813465598
region_transfer,Sahara,East China,linear_regression,3960,3960,1.1042990905042762,1.3869676145011711,-3.5413516638049813e-05
region_transfer,Sahara,East China,random_forest,3960,3960,1.059614067959632,1.3396935905840137,0.06697410359429257
region_transfer,Sahara,East China,xgboost,3960,3960,1.0876900524081212,1.3756942608037284,0.016155211193494057
region_transfer,East China,Sahara,linear_regression,3960,3960,1.0196555424019824,1.2753812160014852,-0.014127479507888951
region_transfer,East China,Sahara,random_forest,3960,3960,0.9954036876039832,1.2330733010868073,0.05203935701863416
region_transfer,East China,Sahara,xgboost,3960,3960,1.0350720297768052,1.2833788872467333,-0.02688615632002045
