region,feature,importance_mean,importance_std
East China,soil_moisture_anomaly,0.4327129918931033,0.01858282544097937
East China,radiation_anomaly,0.05432360172274312,0.010011965086879644
East China,wind_speed,0.03307643536163154,0.011294745509454586
East China,temperature_anomaly,0.03185190508241183,0.009454979506293945
East China,v_wind,0.007876719409026156,0.004333194580756359
East China,precipitation_anomaly,0.002485057982162142,0.0018583513330105068
East China,soil_moisture,0.0018705700102985446,0.0018439417349263416
East China,precipitation,0.0017239982374387063,0.0010006893120021434
East China,temperature,0.0011605861058908706,0.0011608456195137634
East China,saturation_vapor_pressure,0.0008388877793170102,0.0009616428585140773
East China,u_wind,0.00041559038337637413,0.0017814307607282329
East China,latitude,8.505268461733717e-05,0.0015240657519254622
East China,radiation,-0.0003361260987712833,0.0018519278618733205
East China,month_cos,-0.001135423454025819,0.0007916305216857314
East China,dryness_proxy,-0.0014847292341393591,0.002026684033216836
East China,month_sin,-0.0018947699548634734,0.0010680870259630263
East China,longitude,-0.0030915016942497098,0.0015775445293665304
Sahara,wind_speed,0.07733448369620614,0.006942250948222838
Sahara,radiation_anomaly,0.04721093053842066,0.006866240318027185
Sahara,soil_moisture_anomaly,0.030827133697770504,0.011083043110624732
Sahara,temperature_anomaly,0.02278145921975938,0.008835583036496456
Sahara,latitude,0.00375346193754843,0.0024023756666950447
Sahara,longitude,0.0024348210456094145,0.0029703066771473476
Sahara,soil_moisture,0.0017035027958372194,0.005183126312335389
Sahara,month_sin,0.00058560940858422,0.0012189704569014997
Sahara,dryness_proxy,0.0002520345655100842,0.0020431351073299194
Sahara,saturation_vapor_pressure,0.00020439351210341795,0.0010038006828609692
Sahara,month_cos,-0.0004042539223235164,0.0006520782274977526
Sahara,v_wind,-0.0006042294161336725,0.003363095180628596
Sahara,temperature,-0.0019701080890635603,0.0006154042585653378
Sahara,precipitation_anomaly,-0.0020695806106151406,0.002191428416248483
Sahara,u_wind,-0.0025689401148956013,0.002581447566205479
Sahara,precipitation,-0.002839110126817046,0.001637114782026115
Sahara,radiation,-0.00336780460791839,0.002396638954218398
