region,year,month,latitude,longitude,temperature,precipitation,radiation,soil_moisture,u_wind,v_wind,evaporation
Sahara,2010,1,27.2875,18.5143,20.701,5.409,224.2,0.0399,3.695,1.086,8.66
Sahara,2010,2,27.2875,18.5143,24.262,0.0,252.876,0.038,3.27,-0.776,7.167
Sahara,2010,3,27.2875,18.5143,24.621,3.525,281.424,0.0359,2.987,0.659,9.699
Sahara,2010,4,27.2875,18.5143,29.536,4.827,295.881,0.0244,3.042,-0.696,10.114
Sahara,2010,5,27.2875,18.5143,33.296,5.05,323.779,0.0273,4.298,0.402,10.28
Sahara,2010,6,27.2875,18.5143,36.809,0.251,310.529,0.02,2.303,0.9,9.195
Sahara,2010,7,27.2875,18.5143,37.433,13.661,315.409,0.0448,2.38,0.295,9.628
Sahara,2010,8,27.2875,18.5143,36.42,12.361,285.227,0.0458,3.785,-0.094,8.797
Sahara,2010,9,27.2875,18.5143,34.108,6.346,282.327,0.0333,5.422,0.261,9.298
Sahara,2010,10,27.2875,18.5143,30.269,7.88,271.092,0.046,3.928,1.963,8.421
Sahara,2010,11,27.2875,18.5143,25.04,1.294,237.131,0.0207,4.262,0.278,6.531
Sahara,2010,12,27.2875,18.5143,21.548,4.254,243.381,0.0577,6.997,0.914,8.234
Sahara,2011,1,27.2875,18.5143,18.802,2.607,232.899,0.0332,2.765,0.359,8.655
Sahara,2011,2,27.2875,18.5143,23.307,0.365,247.143,0.02,2.916,0.446,10.046
Sahara,2011,3,27.2875,18.5143,26.195,5.467,275.007,0.0213,2.342,-0.225,11.108
Sahara,2011,4,27.2875,18.5143,28.768,6.354,293.471,0.0402,3.962,0.343,9.847
Sahara,2011,5,27.2875,18.5143,33.018,6.784,314.421,0.02,1.966,0.673,11.738
Sahara,2011,6,27.2875,18.5143,37.168,6.525,327.858,0.0373,3.763,0.089,12.577
Sahara,2011,7,27.2875,18.5143,38.643,14.607,320.803,0.0255,1.858,2.151,12.867
Sahara,2011,8,27.2875,18.5143,36.659,7.467,317.114,0.02,2.426,1.143,9.949
Sahara,2011,9,27.2875,18.5143,33.992,7.81,283.376,0.0491,3.609,1.144,7.862
Sahara,2011,10,27.2875,18.5143,29.927,3.627,245.312,0.0276,3.099,1.416,7.201
Sahara,2011,11,27.2875,18.5143,26.046,3.063,237.752,0.0471,4.146,1.837,8.712
Sahara,2011,12,27.2875,18.5143,22.028,2.105,237.425,0.0374,2.199,0.59,7.98
Sahara,2012,1,27.2875,18.5143,25.776,9.043,232.496,0.0442,1.744,-0.091,8.31
Sahara,2012,2,27.2875,18.5143,24.881,0.0,250.959,0.02,3.305,-0.562,7.629
Sahara,2012,3,27.2875,18.5143,24.685,1.159,262.423,0.02,6.055,-0.787,7.902
