experiment_id,model_name,validation_strategy,feature_set,train_region,test_region,train_period,test_period,n_train,n_test,MAE,RMSE,R2
tcn_batch_smoke,tcn,temporal_holdout,base,mixed,mixed,2010-2019,2020,7200,720,1.0951073169708252,1.373634614133745,-0.0058925151824951
synthetic_phase3_baseline,linear_regression,random_split,base,mixed,mixed,mixed,mixed,6336,1584,1.0817443064025571,1.36953594911689,-0.001033763022929124
synthetic_phase3_baseline,random_forest,random_split,base,mixed,mixed,mixed,mixed,6336,1584,1.1444588828652866,1.4447065542992334,-0.11393830598308541
synthetic_phase3_baseline,xgboost,random_split,base,mixed,mixed,mixed,mixed,6336,1584,1.0922756710698347,1.3857260334964938,-0.02484126694397326
synthetic_phase3_baseline,linear_regression,spatial_holdout,base,mixed,mixed,mixed,mixed,6336,1584,1.0517095030392645,1.3148670912787797,-0.002998499831294188
synthetic_phase3_baseline,random_forest,spatial_holdout,base,mixed,mixed,mixed,mixed,6336,1584,1.0810493315960037,1.3494769406316727,-0.056495149299390146
synthetic_phase3_baseline,xgboost,spatial_holdout,base,mixed,mixed,mixed,mixed,6336,1584,1.0721411896891149,1.3377602196047635,-0.03822893040750497
synthetic_phase3_baseline,linear_regression,temporal_holdout,base,mixed,mixed,2010-2019,2020,7200,720,1.0924270028441558,1.3695557157105733,7.243051129202094e-05
synthetic_phase3_baseline,random_forest,temporal_holdout,base,mixed,mixed,2010-2019,2020,7200,720,1.1393642628953562,1.4389403441601305,-0.10381098478082484
synthetic_phase3_baseline,xgboost,temporal_holdout,base,mixed,mixed,2010-2019,2020,7200,720,1.104667837279836,1.3844855393089273,-0.021847251584449445
synthetic_phase3_baseline,linear_regression,region_transfer,base,Sahara,East China,2010-2020,2010-2020,3960,3960,1.138366554180594,1.4274486075635064,-0.05926275266246783
synthetic_phase3_baseline,random_forest,region_transfer,base,Sahara,East China,2010-2020,2010-2020,3960,3960,1.128792946883451,1.4154634054888282,-0.04154977731776932
synthetic_phase3_baseline,xgboost,region_transfer,base,Sahara,East China,2010-2020,2010-2020,3960,3960,1.1246945814120775,1.4130292893403622,-0.03797063392831146
synthetic_phase3_baseline,linear_regression,region_transfer,base,East China,Sahara,2010-2020,2010-2020,3960,3960,1.2622523721265813,1.568839254629357,-0.534508905067054
synthetic_phase3_baseline,random_forest,region_transfer,base,East China,Sahara,2010-2020,2010-2020,3960,3960,1.0324482987962995,1.29538998813516,-0.04619728922662558
synthetic_phase3_baseline,xgboost,region_transfer,base,East China,Sahara,2010-2020,2010-2020,3960,3960,1.0388420539097432,1.3019395584585416,-0.05680330780846421
synthetic_phase3_baseline,linear_regression,random_split,meteorological,mixed,mixed,mixed,mixed,6336,1584,0.957911611955061,1.211640464130244,0.21648125717790068
synthetic_phase3_baseline,random_forest,random_split,meteorological,mixed,mixed,mixed,mixed,6336,1584,0.9942358760916941,1.2459488329391237,0.17148139024953168
synthetic_phase3_baseline,xgboost,random_split,meteorological,mixed,mixed,mixed,mixed,6336,1584,0.9773103291471237,1.230570502924812,0.1918074291384544
synthetic_phase3_baseline,linear_regression,spatial_holdout,meteorological,mixed,mixed,mixed,mixed,6336,1584,0.9597400055353972,1.196921484141331,0.16887203273708118
synthetic_phase3_baseline,random_forest,spatial_holdout,meteorological,mixed,mixed,mixed,mixed,6336,1584,0.9720552552894269,1.222043637719751,0.13361684397120477
synthetic_phase3_baseline,xgboost,spatial_holdout,meteorological,mixed,mixed,mixed,mixed,6336,1584,0.9656153198187157,1.2102215591080332,0.15029858366523463
synthetic_phase3_baseline,linear_regression,temporal_holdout,meteorological,mixed,mixed,2010-2019,2020,7200,720,1.0055392664694882,1.2663389270097742,0.14511234122187266
synthetic_phase3_baseline,random_forest,temporal_holdout,meteorological,mixed,mixed,2010-2019,2020,7200,720,1.0272041345459857,1.284146434065104,0.12090009434647586
synthetic_phase3_baseline,xgboost,temporal_holdout,meteorological,mixed,mixed,2010-2019,2020,7200,720,1.0205378216674394,1.2810465214204745,0.12513924281689015
synthetic_phase3_baseline,linear_regression,region_transfer,meteorological,Sahara,East China,2010-2020,2010-2020,3960,3960,1.0030384311679441,1.263363503243136,0.1702650345585417
synthetic_phase3_baseline,random_forest,region_transfer,meteorological,Sahara,East China,2010-2020,2010-2020,3960,3960,1.0614804544257892,1.3414707013121325,0.06449713412212121
synthetic_phase3_baseline,xgboost,region_transfer,meteorological,Sahara,East China,2010-2020,2010-2020,3960,3960,1.0661565086024694,1.348673688814022,0.05442385215458412
synthetic_phase3_baseline,linear_regression,region_transfer,meteorological,East China,Sahara,2010-2020,2010-2020,3960,3960,0.9923769966893364,1.233512598584288,0.051363791473334475
synthetic_phase3_baseline,random_forest,region_transfer,meteorological,East China,Sahara,2010-2020,2010-2020,3960,3960,1.0122288499584413,1.2552464439692264,0.01764034577935214
synthetic_phase3_baseline,xgboost,region_transfer,meteorological,East China,Sahara,2010-2020,2010-2020,3960,3960,1.0007145326879683,1.2410113519074444,0.03979486003842281
synthetic_phase3_baseline,linear_regression,random_split,physical,mixed,mixed,mixed,mixed,6336,1584,1.0815950170083575,1.368873003971599,-6.486570617325604e-05
synthetic_phase3_baseline,random_forest,random_split,physical,mixed,mixed,mixed,mixed,6336,1584,1.0997832963704006,1.4017750919611884,-0.04871753593567374
synthetic_phase3_baseline,xgboost,random_split,physical,mixed,mixed,mixed,mixed,6336,1584,1.072570875173033,1.3571253545741317,0.017026565025610285
synthetic_phase3_baseline,linear_regression,spatial_holdout,physical,mixed,mixed,mixed,mixed,6336,1584,1.0508360753683155,1.3128061206379773,0.00014330881401092288
synthetic_phase3_baseline,random_forest,spatial_holdout,physical,mixed,mixed,mixed,mixed,6336,1584,1.0814735986263544,1.3673776889204496,-0.08470976626003157
synthetic_phase3_baseline,xgboost,spatial_holdout,physical,mixed,mixed,mixed,mixed,6336,1584,1.0427816161281025,1.309589232097729,0.00503738529405795
synthetic_phase3_baseline,linear_regression,temporal_holdout,physical,mixed,mixed,2010-2019,2020,7200,720,1.092138437764831,1.3697200945266303,-0.00016761342715065908
synthetic_phase3_baseline,random_forest,temporal_holdout,physical,mixed,mixed,2010-2019,2020,7200,720,1.1170124500233856,1.403003004849362,-0.049364421753611776
synthetic_phase3_baseline,xgboost,temporal_holdout,physical,mixed,mixed,2010-2019,2020,7200,720,1.0699342711734492,1.35573962940786,0.02014522069502711
synthetic_phase3_baseline,linear_regression,region_transfer,physical,Sahara,East China,2010-2020,2010-2020,3960,3960,1.1042990905042764,1.3869676145011711,-3.5413516638049813e-05
synthetic_phase3_baseline,random_forest,region_transfer,physical,Sahara,East China,2010-2020,2010-2020,3960,3960,1.1835885939164568,1.4901580645468222,-0.15437633130131867
synthetic_phase3_baseline,xgboost,region_transfer,physical,Sahara,East China,2010-2020,2010-2020,3960,3960,1.1424706909781812,1.4399882431888713,-0.07795499995416577
synthetic_phase3_baseline,linear_regression,region_transfer,physical,East China,Sahara,2010-2020,2010-2020,3960,3960,1.206052647397938,1.5516633538406075,-0.501092741278423
