feature_set,model_name,validation_strategy,mean_mae,mean_rmse,mean_r2,best_rmse
meteorological,linear_regression,random_split,0.957911611955061,1.211640464130244,0.21648125717790068,1.211640464130244
full,xgboost,random_split,0.9761454902625927,1.228030880044966,0.19513984509343374,1.228030880044966
meteorological,xgboost,random_split,0.9773103291471237,1.230570502924812,0.1918074291384544,1.230570502924812
full,random_forest,random_split,0.9790864205075678,1.2345081109372293,0.1866270075266374,1.2345081109372293
meteorological,random_forest,random_split,0.9942358760916941,1.2459488329391237,0.17148139024953168,1.2459488329391237
physical,xgboost,random_split,1.072570875173033,1.3571253545741317,0.017026565025610285,1.3571253545741317
full,linear_regression,random_split,1.0815950170083573,1.368873003971599,-6.486570617325604e-05,1.368873003971599
physical,linear_regression,random_split,1.0815950170083575,1.368873003971599,-6.486570617325604e-05,1.368873003971599
base,linear_regression,random_split,1.0817443064025571,1.36953594911689,-0.001033763022929124,1.36953594911689
base,xgboost,random_split,1.0922756710698347,1.3857260334964938,-0.02484126694397326,1.3857260334964938
physical,random_forest,random_split,1.0997832963704006,1.4017750919611884,-0.04871753593567374,1.4017750919611884
base,random_forest,random_split,1.1444588828652866,1.4447065542992334,-0.11393830598308541,1.4447065542992334
meteorological,linear_regression,region_transfer,0.9977077139286403,1.248438050913712,0.11081441301593808,1.233512598584288
full,random_forest,region_transfer,1.0233738920676876,1.2819651577685658,0.06654505665866406,1.2200572642854464
meteorological,xgboost,region_transfer,1.0334355206452188,1.2948425203607332,0.04710935609650346,1.2410113519074444
meteorological,random_forest,region_transfer,1.0368546521921154,1.2983585726406794,0.04106873995073668,1.2552464439692264
full,xgboost,region_transfer,1.0504907109125567,1.3116894938508665,0.022708014564520373,1.2490975457337858
base,random_forest,region_transfer,1.0806206228398754,1.3554266968119941,-0.04387353327219745,1.29538998813516
base,xgboost,region_transfer,1.0817683176609103,1.357484423899452,-0.047386970868387834,1.3019395584585416
full,linear_regression,region_transfer,1.104587156415925,1.3858966495272607,-0.0978408755014738,1.3848256845533502
physical,linear_regression,region_transfer,1.1551758689511074,1.4693154841708893,-0.2505640773975305,1.3869676145011711
base,linear_regression,region_transfer,1.2003094631535878,1.4981439310964317,-0.2968858288647609,1.4274486075635064
physical,random_forest,region_transfer,1.2729049595631245,1.5831753004868676,-0.4530393620601195,1.4901580645468222
physical,xgboost,region_transfer,1.4109390864638498,1.726239554057592,-0.8015326503573108,1.4399882431888713
meteorological,linear_regression,spatial_holdout,0.9597400055353972,1.196921484141331,0.16887203273708118,1.196921484141331
full,xgboost,spatial_holdout,0.9624892465507751,1.2070366847599723,0.15476492514540374,1.2070366847599723
meteorological,xgboost,spatial_holdout,0.9656153198187157,1.2102215591080332,0.15029858366523463,1.2102215591080332
full,random_forest,spatial_holdout,0.9661710144512767,1.2165499243511242,0.14138900859955217,1.2165499243511242
meteorological,random_forest,spatial_holdout,0.9720552552894269,1.222043637719751,0.13361684397120477,1.222043637719751
physical,xgboost,spatial_holdout,1.0427816161281025,1.309589232097729,0.00503738529405795,1.309589232097729
full,linear_regression,spatial_holdout,1.0508360753683155,1.3128061206379773,0.00014330881401114492,1.3128061206379773
physical,linear_regression,spatial_holdout,1.0508360753683155,1.3128061206379773,0.00014330881401092288,1.3128061206379773
base,linear_regression,spatial_holdout,1.0517095030392645,1.3148670912787797,-0.002998499831294188,1.3148670912787797
base,xgboost,spatial_holdout,1.0721411896891149,1.3377602196047635,-0.03822893040750497,1.3377602196047635
base,random_forest,spatial_holdout,1.0810493315960037,1.3494769406316727,-0.056495149299390146,1.3494769406316727
physical,random_forest,spatial_holdout,1.0814735986263544,1.3673776889204496,-0.08470976626003157,1.3673776889204496
meteorological,linear_regression,temporal_holdout,1.0055392664694882,1.2663389270097742,0.14511234122187266,1.2663389270097742
full,random_forest,temporal_holdout,1.014288054480542,1.2748461382846539,0.13358756116101445,1.2748461382846539
full,xgboost,temporal_holdout,1.0176213186194218,1.2788944084930547,0.12807624408222318,1.2788944084930547
meteorological,xgboost,temporal_holdout,1.0205378216674394,1.2810465214204745,0.12513924281689015,1.2810465214204745
meteorological,random_forest,temporal_holdout,1.0272041345459857,1.284146434065104,0.12090009434647586,1.284146434065104
physical,xgboost,temporal_holdout,1.0699342711734492,1.35573962940786,0.02014522069502711,1.35573962940786
base,linear_regression,temporal_holdout,1.0924270028441558,1.3695557157105733,7.243051129202094e-05,1.3695557157105733
full,linear_regression,temporal_holdout,1.0921384377648309,1.3697200945266303,-0.00016761342715065908,1.3697200945266303
physical,linear_regression,temporal_holdout,1.092138437764831,1.3697200945266303,-0.00016761342715065908,1.3697200945266303
base,xgboost,temporal_holdout,1.104667837279836,1.3844855393089273,-0.021847251584449445,1.3844855393089273
physical,random_forest,temporal_holdout,1.1170124500233856,1.403003004849362,-0.049364421753611776,1.403003004849362
base,random_forest,temporal_holdout,1.1393642628953562,1.4389403441601305,-0.10381098478082484,1.4389403441601305
