validation_strategy,train_region,test_region,train_period,test_period,model,feature,importance,importance_type
random_split,mixed,mixed,mixed,mixed,linear_regression,latitude,0.0065922526153175155,absolute_coefficient
random_split,mixed,mixed,mixed,mixed,linear_regression,longitude,0.00031027877411774656,absolute_coefficient
random_split,mixed,mixed,mixed,mixed,linear_regression,month_sin,0.001059096011678218,absolute_coefficient
random_split,mixed,mixed,mixed,mixed,linear_regression,month_cos,0.003993695054025107,absolute_coefficient
random_split,mixed,mixed,mixed,mixed,random_forest,latitude,0.2651707901391919,importance
random_split,mixed,mixed,mixed,mixed,random_forest,longitude,0.27710062264674407,importance
random_split,mixed,mixed,mixed,mixed,random_forest,month_sin,0.22494569605348816,importance
random_split,mixed,mixed,mixed,mixed,random_forest,month_cos,0.23278289116057596,importance
random_split,mixed,mixed,mixed,mixed,xgboost,latitude,0.2434716671705246,importance
random_split,mixed,mixed,mixed,mixed,xgboost,longitude,0.2604391574859619,importance
random_split,mixed,mixed,mixed,mixed,xgboost,month_sin,0.24840153753757477,importance
random_split,mixed,mixed,mixed,mixed,xgboost,month_cos,0.2476876676082611,importance
spatial_holdout,mixed,mixed,mixed,mixed,linear_regression,latitude,0.008766565229638344,absolute_coefficient
spatial_holdout,mixed,mixed,mixed,mixed,linear_regression,longitude,0.00029335810755778014,absolute_coefficient
spatial_holdout,mixed,mixed,mixed,mixed,linear_regression,month_sin,0.008010367893356421,absolute_coefficient
spatial_holdout,mixed,mixed,mixed,mixed,linear_regression,month_cos,0.0080234431730445,absolute_coefficient
spatial_holdout,mixed,mixed,mixed,mixed,random_forest,latitude,0.2628165450561368,importance
spatial_holdout,mixed,mixed,mixed,mixed,random_forest,longitude,0.27481232172901,importance
spatial_holdout,mixed,mixed,mixed,mixed,random_forest,month_sin,0.22691787502457073,importance
spatial_holdout,mixed,mixed,mixed,mixed,random_forest,month_cos,0.23545325819028254,importance
spatial_holdout,mixed,mixed,mixed,mixed,xgboost,latitude,0.24308471381664276,importance
spatial_holdout,mixed,mixed,mixed,mixed,xgboost,longitude,0.2624354064464569,importance
spatial_holdout,mixed,mixed,mixed,mixed,xgboost,month_sin,0.26393944025039673,importance
spatial_holdout,mixed,mixed,mixed,mixed,xgboost,month_cos,0.2305404394865036,importance
temporal_holdout,mixed,mixed,2010-2019,2020,linear_regression,latitude,0.0019567910133878046,absolute_coefficient
temporal_holdout,mixed,mixed,2010-2019,2020,linear_regression,longitude,0.00019606664091533827,absolute_coefficient
temporal_holdout,mixed,mixed,2010-2019,2020,linear_regression,month_sin,0.005357978504517869,absolute_coefficient
temporal_holdout,mixed,mixed,2010-2019,2020,linear_regression,month_cos,0.0012675446335528445,absolute_coefficient
temporal_holdout,mixed,mixed,2010-2019,2020,random_forest,latitude,0.26400995401128596,importance
temporal_holdout,mixed,mixed,2010-2019,2020,random_forest,longitude,0.265764673423601,importance
temporal_holdout,mixed,mixed,2010-2019,2020,random_forest,month_sin,0.2324444341853371,importance
temporal_holdout,mixed,mixed,2010-2019,2020,random_forest,month_cos,0.23778093837977593,importance
temporal_holdout,mixed,mixed,2010-2019,2020,xgboost,latitude,0.2522253692150116,importance
