validation_strategy,train_region,test_region,train_period,test_period,feature_set,model,model_name,n_train,n_test,MAE,RMSE,R2
random_split,mixed,mixed,mixed,mixed,base,linear_regression,linear_regression,6336,1584,1.0817443064025571,1.36953594911689,-0.001033763022929124
random_split,mixed,mixed,mixed,mixed,base,random_forest,random_forest,6336,1584,1.1444588828652866,1.4447065542992334,-0.11393830598308541
random_split,mixed,mixed,mixed,mixed,base,xgboost,xgboost,6336,1584,1.0922756710698347,1.3857260334964938,-0.02484126694397326
spatial_holdout,mixed,mixed,mixed,mixed,base,linear_regression,linear_regression,6336,1584,1.0517095030392645,1.3148670912787797,-0.002998499831294188
spatial_holdout,mixed,mixed,mixed,mixed,base,random_forest,random_forest,6336,1584,1.0810493315960037,1.3494769406316727,-0.056495149299390146
spatial_holdout,mixed,mixed,mixed,mixed,base,xgboost,xgboost,6336,1584,1.0721411896891149,1.3377602196047635,-0.03822893040750497
temporal_holdout,mixed,mixed,2010-2019,2020,base,linear_regression,linear_regression,7200,720,1.0924270028441558,1.3695557157105733,7.243051129202094e-05
temporal_holdout,mixed,mixed,2010-2019,2020,base,random_forest,random_forest,7200,720,1.1393642628953562,1.4389403441601305,-0.10381098478082484
temporal_holdout,mixed,mixed,2010-2019,2020,base,xgboost,xgboost,7200,720,1.104667837279836,1.3844855393089273,-0.021847251584449445
region_transfer,Sahara,East China,2010-2020,2010-2020,base,linear_regression,linear_regression,3960,3960,1.138366554180594,1.4274486075635064,-0.05926275266246783
region_transfer,Sahara,East China,2010-2020,2010-2020,base,random_forest,random_forest,3960,3960,1.128792946883451,1.4154634054888282,-0.04154977731776932
region_transfer,Sahara,East China,2010-2020,2010-2020,base,xgboost,xgboost,3960,3960,1.1246945814120775,1.4130292893403622,-0.03797063392831146
region_transfer,East China,Sahara,2010-2020,2010-2020,base,linear_regression,linear_regression,3960,3960,1.2622523721265813,1.568839254629357,-0.534508905067054
region_transfer,East China,Sahara,2010-2020,2010-2020,base,random_forest,random_forest,3960,3960,1.0324482987962995,1.29538998813516,-0.04619728922662558
region_transfer,East China,Sahara,2010-2020,2010-2020,base,xgboost,xgboost,3960,3960,1.0388420539097432,1.3019395584585416,-0.05680330780846421
random_split,mixed,mixed,mixed,mixed,meteorological,linear_regression,linear_regression,6336,1584,0.957911611955061,1.211640464130244,0.21648125717790068
random_split,mixed,mixed,mixed,mixed,meteorological,random_forest,random_forest,6336,1584,0.9942358760916941,1.2459488329391237,0.17148139024953168
random_split,mixed,mixed,mixed,mixed,meteorological,xgboost,xgboost,6336,1584,0.9773103291471237,1.230570502924812,0.1918074291384544
